n,x,v
666,-0.049323,-0.273495
667,-0.0495965,-0.273011
668,-0.0498695,-0.272525
669,-0.0501421,-0.272036
670,-0.0504141,-0.271544
671,-0.0506856,-0.27105
672,-0.0509567,-0.270553
673,-0.0512272,-0.270053
674,-0.0514973,-0.269551
675,-0.0517668,-0.269046
676,-0.0520359,-0.268538
677,-0.0523044,-0.268028
678,-0.0525725,-0.267515
679,-0.05284,-0.267
680,-0.053107,-0.266481
681,-0.0533735,-0.265961
682,-0.0536394,-0.265437
683,-0.0539048,-0.264911
684,-0.0541698,-0.264383
685,-0.0544341,-0.263852
686,-0.054698,-0.263318
687,-0.0549613,-0.262782
688,-0.0552241,-0.262243
689,-0.0554863,-0.261701
690,-0.055748,-0.261157
691,-0.0560092,-0.260611
692,-0.0562698,-0.260061
693,-0.0565299,-0.25951
694,-0.0567894,-0.258955
695,-0.0570483,-0.258399
696,-0.0573067,-0.257839
697,-0.0575646,-0.257277
698,-0.0578218,-0.256713
699,-0.0580786,-0.256146
700,-0.0583347,-0.255577
701,-0.0585903,-0.255005
702,-0.0588453,-0.25443
703,-0.0590997,-0.253853
704,-0.0593536,-0.253274
705,-0.0596068,-0.252692
706,-0.0598595,-0.252108
707,-0.0601116,-0.251521
708,-0.0603632,-0.250931
709,-0.0606141,-0.25034
710,-0.0608644,-0.249745
711,-0.0611142,-0.249149
712,-0.0613633,-0.24855
713,-0.0616119,-0.247948
714,-0.0618598,-0.247344
715,-0.0621072,-0.246737
716,-0.0623539,-0.246129
717,-0.0626,-0.245517
718,-0.0628456,-0.244904
719,-0.0630905,-0.244287
720,-0.0633347,-0.243669
721,-0.0635784,-0.243048
722,-0.0638215,-0.242425
723,-0.0640639,-0.241799
724,-0.0643057,-0.241171
725,-0.0645469,-0.240541
726,-0.0647874,-0.239908
727,-0.0650273,-0.239273
728,-0.0652666,-0.238635
729,-0.0655052,-0.237995
730,-0.0657432,-0.237353
731,-0.0659806,-0.236709
732,-0.0662173,-0.236062
733,-0.0664533,-0.235413
734,-0.0666887,-0.234762
735,-0.0669235,-0.234108
736,-0.0671576,-0.233452
737,-0.0673911,-0.232793
738,-0.0676239,-0.232133
739,-0.067856,-0.23147
740,-0.0680875,-0.230805
741,-0.0683183,-0.230137
742,-0.0685484,-0.229468
743,-0.0687779,-0.228796
744,-0.0690067,-0.228122
745,-0.0692348,-0.227445
746,-0.0694622,-0.226766
747,-0.069689,-0.226086
748,-0.0699151,-0.225403
749,-0.0701405,-0.224717
750,-0.0703652,-0.22403
751,-0.0705892,-0.22334
752,-0.0708126,-0.222648
753,-0.0710352,-0.221954
754,-0.0712572,-0.221258
755,-0.0714784,-0.220559
756,-0.071699,-0.219859
757,-0.0719189,-0.219156
758,-0.072138,-0.218451
759,-0.0723565,-0.217744
760,-0.0725742,-0.217035
761,-0.0727912,-0.216323
762,-0.0730076,-0.21561
763,-0.0732232,-0.214894
764,-0.0734381,-0.214177
765,-0.0736522,-0.213457
766,-0.0738657,-0.212735
767,-0.0740784,-0.212011
768,-0.0742905,-0.211285
769,-0.0745017,-0.210557
770,-0.0747123,-0.209827
771,-0.0749221,-0.209094
772,-0.0751312,-0.20836
773,-0.0753396,-0.207624
774,-0.0755472,-0.206885
775,-0.0757541,-0.206145
776,-0.0759602,-0.205403
777,-0.0761656,-0.204658
778,-0.0763703,-0.203912
779,-0.0765742,-0.203163
780,-0.0767774,-0.202413
781,-0.0769798,-0.20166
782,-0.0771814,-0.200906
783,-0.0773823,-0.20015
784,-0.0775825,-0.199391
785,-0.0777819,-0.198631
786,-0.0779805,-0.197869
787,-0.0781784,-0.197104
788,-0.0783755,-0.196338
789,-0.0785718,-0.19557
790,-0.0787674,-0.1948
791,-0.0789622,-0.194028
792,-0.0791562,-0.193254
793,-0.0793495,-0.192479
794,-0.079542,-0.191701
795,-0.0797337,-0.190922
796,-0.0799246,-0.19014
797,-0.0801147,-0.189357
798,-0.0803041,-0.188572
799,-0.0804927,-0.187785
800,-0.0806804,-0.186996
801,-0.0808674,-0.186206
802,-0.0810536,-0.185413
803,-0.081239,-0.184619
804,-0.0814237,-0.183823
805,-0.0816075,-0.183025
806,-0.0817905,-0.182225
807,-0.0819727,-0.181424
808,-0.0821542,-0.180621
809,-0.0823348,-0.179815
810,-0.0825146,-0.179009
811,-0.0826936,-0.1782
812,-0.0828718,-0.17739
813,-0.0830492,-0.176578
814,-0.0832258,-0.175764
815,-0.0834015,-0.174949
816,-0.0835765,-0.174131
817,-0.0837506,-0.173312
818,-0.0839239,-0.172492
819,-0.0840964,-0.171669
820,-0.0842681,-0.170845
821,-0.0844389,-0.17002
822,-0.084609,-0.169192
823,-0.0847782,-0.168363
824,-0.0849465,-0.167533
825,-0.085114,-0.1667
826,-0.0852807,-0.165866
827,-0.0854466,-0.165031
828,-0.0856116,-0.164194
829,-0.0857758,-0.163355
830,-0.0859392,-0.162514
831,-0.0861017,-0.161672
832,-0.0862634,-0.160829
833,-0.0864242,-0.159983
834,-0.0865842,-0.159137
835,-0.0867433,-0.158288
836,-0.0869016,-0.157438
837,-0.0870591,-0.156587
838,-0.0872156,-0.155734
839,-0.0873714,-0.15488
840,-0.0875263,-0.154024
841,-0.0876803,-0.153166
842,-0.0878334,-0.152307
843,-0.0879858,-0.151446
844,-0.0881372,-0.150584
845,-0.0882878,-0.149721
846,-0.0884375,-0.148856
847,-0.0885864,-0.147989
848,-0.0887344,-0.147122
849,-0.0888815,-0.146252
850,-0.0890277,-0.145381
851,-0.0891731,-0.144509
852,-0.0893176,-0.143636
853,-0.0894613,-0.142761
854,-0.089604,-0.141884
855,-0.0897459,-0.141006
856,-0.0898869,-0.140127
857,-0.090027,-0.139246
858,-0.0901663,-0.138365
859,-0.0903046,-0.137481
